county,avg_change,volatility,reliability_ratio,years_counted,naive_rank,reliability_rank
Trinity,43.1,166.91,0.258,21,2,1
Santa Barbara,8.96,43.76,0.205,21,17,2
San Joaquin,14.54,73.23,0.198,21,11,3
Inyo,32.76,174.63,0.188,21,3,4
San Bernardino,16.32,89.28,0.183,21,9,5
Los Angeles,6.26,37.16,0.169,21,24,6
San Mateo,18.19,111.13,0.164,21,8,7
Del Norte,29.57,199.97,0.148,21,5,8
Amador,19.03,152.32,0.125,21,7,9
Monterey,12.08,98.94,0.122,21,13,10
Ventura,8.55,76.49,0.112,21,19,11
Alameda,15.44,145.34,0.106,21,10,12
El Dorado,10.87,117.08,0.093,21,15,13
Marin,12.77,158.46,0.081,21,12,14
Alpine,141.39,1828.01,0.077,21,1,15
Siskiyou,8.19,115.52,0.071,21,22,16
Nevada,5.13,79.24,0.065,21,25,17
Placer,6.85,107.22,0.064,21,23,18
Orange,3.5,56.46,0.062,21,33,19
Sonoma,10.08,167.75,0.06,21,16,20
Calaveras,20.43,352.67,0.058,21,6,21
Imperial,4.42,76.53,0.058,21,28,22
Stanislaus,2.97,63.55,0.047,21,35,23
Tuolumne,3.66,87.01,0.042,21,32,24
Tulare,4.52,107.7,0.042,21,27,25
Madera,8.25,211.66,0.039,21,20,26
Lake,4.0,107.58,0.037,21,30,27
Butte,11.7,365.31,0.032,21,14,28
Sacramento,4.16,130.62,0.032,21,29,29
Plumas,8.22,266.15,0.031,21,21,30
Santa Cruz,5.01,169.78,0.029,21,26,31
Modoc,8.7,392.2,0.022,21,18,32
Humboldt,2.47,133.05,0.019,21,36,33
San Luis Obispo,3.92,214.65,0.018,21,31,34
Mariposa,3.09,175.84,0.018,21,34,35
Sierra,31.36,2119.54,0.015,21,4,36
Riverside,1.9,149.01,0.013,21,37,37
Fresno,0.86,133.09,0.006,21,39,38
San Benito,0.67,109.91,0.006,21,40,39
Mono,1.58,550.63,0.003,21,38,40
Contra Costa,0.18,91.2,0.002,21,41,41
Glenn,-0.02,177.59,-0.0,21,42,42
Sutter,-0.08,147.94,-0.001,21,43,43
Colusa,-1.64,157.64,-0.01,21,44,44
Santa Clara,-3.09,165.11,-0.019,21,47,45
Lassen,-2.02,105.34,-0.019,21,45,46
Yuba,-5.99,227.91,-0.026,21,50,47
Yolo,-2.52,84.1,-0.03,21,46,48
Kern,-4.87,137.44,-0.035,21,49,49
Mendocino,-6.53,166.66,-0.039,21,54,50
Kings,-6.32,130.01,-0.049,21,51,51
Merced,-3.55,63.8,-0.056,21,48,52
Shasta,-6.47,111.52,-0.058,21,53,53
Napa,-10.73,175.22,-0.061,21,55,54
Solano,-12.79,115.87,-0.11,21,56,55
San Diego,-6.4,54.87,-0.117,21,52,56
Tehama,-21.05,122.08,-0.172,21,57,57
